Date,WeekNum,Status,AwayTeam,AwayTeamRecord,HomeTeam,HomeTeamRecord,Venue,Broadcast,SeasonType,WeekId
"September 4, 2025",1,Scheduled,Dallas Cowboys,0-0,Philadelphia Eagles,0-0,"Lincoln Financial Field, Philadelphia, PA, USA",NBC/Peacock,2,1
"September 5, 2025",1,Scheduled,Kansas City Chiefs,0-0,Los Angeles Chargers,0-0,"Corinthians Arena, Sao Paulo, None, Brazil",YouTube,2,1
"September 7, 2025",1,Scheduled,Tampa Bay Buccaneers,0-0,Atlanta Falcons,0-0,"Mercedes-Benz Stadium, Atlanta, GA, USA",FOX,2,1
"September 7, 2025",1,Scheduled,Cincinnati Bengals,0-0,Cleveland Browns,0-0,"Huntington Bank Field, Cleveland, OH, USA",FOX,2,1
"September 7, 2025",1,Scheduled,Miami Dolphins,0-0,Indianapolis Colts,0-0,"Lucas Oil Stadium, Indianapolis, IN, USA",CBS,2,1
"September 7, 2025",1,Scheduled,Las Vegas Raiders,0-0,New England Patriots,0-0,"Gillette Stadium, Foxborough, MA, USA",CBS,2,1
"September 7, 2025",1,Scheduled,Arizona Cardinals,0-0,New Orleans Saints,0-0,"Caesars Superdome, New Orleans, LA, USA",CBS,2,1
"September 7, 2025",1,Scheduled,Pittsburgh Steelers,0-0,New York Jets,0-0,"MetLife Stadium, East Rutherford, NJ, USA",CBS,2,1
"September 7, 2025",1,Scheduled,New York Giants,0-0,Washington Commanders,0-0,"Northwest Stadium, Landover, MD, USA",FOX,2,1
"September 7, 2025",1,Scheduled,Carolina Panthers,0-0,Jacksonville Jaguars,0-0,"EverBank Stadium, Jacksonville, FL, USA",FOX,2,1
"September 7, 2025",1,Scheduled,Tennessee Titans,0-0,Denver Broncos,0-0,"Empower Field at Mile High, Denver, CO, USA",FOX,2,1
"September 7, 2025",1,Scheduled,San Francisco 49ers,0-0,Seattle Seahawks,0-0,"Lumen Field, Seattle, WA, USA",FOX,2,1
"September 7, 2025",1,Scheduled,Detroit Lions,0-0,Green Bay Packers,0-0,"Lambeau Field, Green Bay, WI, USA",CBS,2,1
"September 7, 2025",1,Scheduled,Houston Texans,0-0,Los Angeles Rams,0-0,"SoFi Stadium, Inglewood, CA, USA",CBS,2,1
"September 7, 2025",1,Scheduled,Baltimore Ravens,0-0,Buffalo Bills,0-0,"Highmark Stadium, Orchard Park, NY, USA",NBC,2,1
"September 8, 2025",1,Scheduled,Minnesota Vikings,0-0,Chicago Bears,0-0,"Soldier Field, Chicago, IL, USA",ABC/ESPN,2,1
